Night_Number,NightCount,NightTPR
94,928,174.2
95,561,60
96,364,36.1
97,1362,133
98,4380,439.4
99,597,62.5
100,1322,156.5
101,-12,5.3
102,282,24.9
103,5423,552.8
104,13595,1407.2
105,826,83.8
106,7494,780.3
107,249,28.3
108,807,81.9
109,5955,626.5
110,6482,694.7
111,2174,340
131,1877,224.1
132,3986,464
133,15537,1836.7
134,10010,1194.2
135,9351,1117.9
136,5456,655.4
137,1490,177.3
138,6940,839
139,12185,1481.3
140,13238,1608.2
141,14648,1776.8
142,12451,1525.5
143,2546,316.8
144,8721,1069
145,6669,820.5
146,4618,678.7
147,5695,707.8
148,5865,727.6
149,2029,256.7
150,1915,245.3
151,1471,179.3
152,925,178.1
153,724,94.6
154,638,135.4
155,838,104.5
156,1044,141.1
157,2674,341.9
158,1683,208.2
159,572,77.3
160,485,66.5
161,353,52.1
162,1255,166.4
163,126,89.1
