Night_Number,NightCount,NightTPR
89,1841,183.5
90,126,47.3
91,308,35.6
92,236,29.5
93,36,5.2
95,80,4.9
96,37,11.9
97,43,5.7
98,13,5.8
99,14,3.4
100,68,8.3
101,2,1.6
102,141,10.8
103,797,83.7
104,4029,423.4
105,6403,675
106,11122,1180.9
107,9155,976.6
108,6731,725.1
109,534,63.1
110,1358,142
111,4065,736.7
112,1348,162.4
113,726,80.5
114,8304,919.6
115,1202,310.8
116,45,22.7
117,1515,169.1
118,2042,226.1
119,298,29
120,6085,693.7
121,566,80.7
122,364,42
123,10574,1218.7
124,4243,1644.4
125,1627,194.7
126,8053,939.7
127,5767,859.5
128,1551,183.9
129,3269,383.6
130,10153,1218.6
131,4976,594.4
132,18562,2319.1
133,3995,689.4
134,910,720.6
135,572,66.1
136,5616,694.7
137,6054,741.2
138,5798,845.9
139,6847,1134.9
140,6423,805.4
141,9887,1236.2
142,2362,308.8
143,4185,527.5
144,6828,865.1
145,11032,1503.8
146,6951,894.8
147,9170,1173.3
148,7460,1204.7
149,3592,568.5
150,2179,285.7
151,2991,385.6
152,2612,344.5
153,2557,337.4
154,2486,326.4
155,2171,281.4
157,720,90.2
158,396,76.6
159,271,37.3
160,465,60
161,932,124.8
162,254,69.7
163,263,35.8
164,634,78.9
