Night_Number,NightCount,NightTPR
89,1712,161.5
90,41,84.7
91,71,9
92,68,12.4
93,20,0.9
94,12,0.9
95,16,3
96,101,13.9
97,25,6.3
98,74,3.8
99,1,0.6
100,6,4.1
101,45,3.5
102,106,6.1
103,411,42.6
104,3240,344.2
105,7541,791.7
106,31528,3355.2
107,7701,1994.7
111,2605,501.7
112,105,6.4
113,1443,160.4
114,10356,1150.1
117,1022,118.9
118,3915,443.9
119,2034,231.6
120,11868,1362.3
121,3528,403.2
122,4286,505.8
125,2,1.9
126,2,1
127,10550,1339.8
128,1133,138
129,1282,148.3
130,13466,1630.3
131,9798,1193.3
132,26729,3259.6
133,4690,645.7
134,339,91.7
135,244,47.9
136,5311,685.1
137,8987,1124.1
138,9848,1239.5
139,9321,1302.9
140,13441,1706.8
141,7523,952.7
142,3356,425.3
143,7663,989.4
144,7096,918.9
145,3638,1421.9
146,7104,1623.5
147,8036,1046.5
148,5996,1457.3
149,6066,794
150,2628,347.3
151,869,120
152,1407,187.5
153,400,64.8
154,1852,249.5
155,2453,335.4
156,181,171.1
157,527,76.6
158,369,55
159,240,30.4
160,652,85.5
161,1248,173.3
162,508,104.8
163,206,34
164,1258,171.5
165,1049,134.5
