Night_Number,NightCount,NightTPR
114,183,229.1
115,451,46.0
116,1527,172.6
117,4215,478.3
118,57,23.9
119,7287,1282.8
120,1870,294.4
121,45,13.8
122,248,49.8
123,2064,345.6
124,1767,208.0
125,7968,925.5
126,10808,1546.6
127,8207,971.6
128,5463,869.2
130,6375,755.7
131,10288,1555.1
132,5468,1600.4
133,1139,141.3
135,43,8.8
136,3470,416.3
137,1565,196.1
138,2057,313.1
139,1467,615.8
140,8722,1084.2
141,1378,173.2
143,8005,994.3
144,19521,2422.4
145,9649,1208.9
147,3769,479.6
148,6146,782.5
149,6503,820.9
150,4629,590.8
151,3899,492.9
152,972,181.9
154,652,91.1
155,880,115.6
156,1090,145.3
157,1301,168.7
158,807,121.0
159,828,107.2
160,1265,176.3
161,508,113.6
162,599,78.6
163,30,7.0
164,246,33.6
165,1555,207.9
166,452,66.0
167,481,102.6
168,865,134.3
169,1705,223.5
170,628,106.7
171,629,78.1
172,549,75.7
173,533,67.9
174,453,58.1
