Night_Number,NightCount,NightTPR
85,79,20
86,27,14.4
87,184,23.8
88,258,36.8
89,2974,293.5
90,27,33.5
91,37,4.7
92,63,6.8
93,308,28.2
94,1880,181.5
95,269,20.8
96,7844,980.4
97,2789,287.7
98,1689,244.7
100,630,80.7
101,-5,29.5
102,1972,201.4
103,707,96
104,24159,2525
105,21336,2232.5
106,1899,202.6
107,12922,1790.2
108,13277,1414
109,371,40.4
110,99,17.3
111,994,101.2
112,5607,610.8
113,4797,579.5
114,153,29.4
115,623,69.1
116,3044,339.2
117,10759,1192.4
118,956,284.5
119,6418,782.9
120,9989,1215.3
121,10442,1181.7
122,10651,1230.4
123,12415,1472.3
124,7933,913.9
125,5556,645.6
126,5561,645.4
127,3004,348.7
