Night_Number,NightCount,NightTPR
84,84,28.4
85,33,22.4
86,84,3.6
87,354,29.1
88,681,64.3
89,6106,599
90,2343,421.5
91,57,18.9
92,45,4.2
93,450,58.9
94,4025,401.9
95,280,50.1
96,3064,481.8
97,6056,614.3
98,4654,732.1
99,98,35.9
100,600,71.3
101,227,29
102,4151,442.4
103,488,169.4
104,14755,1534.8
105,24297,2542.6
106,2603,274.6
107,16738,1947
108,10143,1073.4
109,2025,220
110,179,27
111,2321,247.8
112,12705,1378.3
113,9396,1023.2
114,497,75.4
115,1099,184.5
116,4865,541.5
117,24046,2666
118,1097,319
119,7834,873.2
120,9111,1385.8
121,11456,1302.2
122,13308,1518.8
123,11914,1365
124,8811,1009.6
125,9231,1069
126,5405,631.4
127,2679,313.5
128,4305,611.8
