Night_Number,NightCount,NightTPR
128,1891,387.9
129,8677,1010.7
130,2023,751.1
131,2312,362.3
132,165,26.6
133,2188,266
134,17059,2124.9
135,10394,1253.7
136,4090,488.1
137,19160,2320.1
138,18280,2722.1
139,14016,1723.1
140,26226,3441.4
141,17606,2175.2
142,7652,1253.1
144,372,52.7
145,663,87
146,1899,230.5
147,9924,1244.7
148,2435,613.2
149,11752,1493.5
150,6002,758.1
151,3276,423.3
152,612,304.6
153,1126,150.3
154,712,88.5
155,1708,217
156,2233,293.9
157,717,138.5
158,771,104.7
159,1963,262.2
160,1663,466.6
