time,summary,icon,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,visibility,cloudCoverError,Site,pressureError,precipIntensityError,precipProbabilityError
2016-04-03T04:00:00Z,Overcast,cloudy,0.0082,0.16,0.067,snow,31.05,23.23,24.4,0.76,1010.19,8.77,18.82,325,1,2.54,NA,ErieA,NA,NA,NA
2016-04-03T05:00:00Z,Overcast,cloudy,0,0,NA,NA,31.12,22.71,23.07,0.72,1011.81,9.84,18.68,324,1,2.99,NA,ErieA,NA,NA,NA
2016-04-03T06:00:00Z,Overcast,cloudy,0.0061,0.03,0.054,snow,30.17,22.23,20.41,0.67,1012.84,8.63,18.42,320,1,3.16,NA,ErieA,NA,NA,NA
2016-04-03T07:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,NA,29.3,21.72,18.01,0.62,1013.86,7.74,16.68,306,0.92,3.37,NA,ErieA,NA,NA,NA
2016-04-03T08:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,NA,28.87,20.79,17.06,0.61,1014.46,8.37,16.7,307,0.75,3.37,NA,ErieA,NA,NA,NA
2016-04-03T09:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,NA,28.4,20.78,16.81,0.61,1015.24,7.52,16.35,304,0.92,3.58,NA,ErieA,NA,NA,NA
2016-04-03T10:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,NA,28.15,21.86,16.71,0.62,1016.3,5.75,14.78,301,0.92,3.37,NA,ErieA,NA,NA,NA
2016-04-03T11:00:00Z,Mostly Cloudy,partly-cloudy-night,0,0,NA,NA,27.63,21.67,16.78,0.63,1017.27,5.28,13,297,0.92,3.58,NA,ErieA,NA,NA,NA
2016-04-03T12:00:00Z,Overcast,cloudy,0,0,NA,NA,27.78,23.66,17.76,0.66,1017.75,3.63,9.65,282,1,3.37,NA,ErieA,NA,NA,NA
2016-04-03T13:00:00Z,Mostly Cloudy,partly-cloudy-day,0,0,NA,NA,29.15,24.97,18.33,0.64,1018.63,3.85,9.82,274,0.92,3.58,NA,ErieA,NA,NA,NA
2016-04-03T14:00:00Z,Mostly Cloudy,partly-cloudy-day,5e-4,0.1,0.004,snow,30.45,24.61,19.41,0.63,1019.21,5.73,11.31,255,0.75,4.03,NA,ErieA,NA,NA,NA
2016-04-03T15:00:00Z,Overcast,cloudy,0.0022,0.19,0.018,snow,31.28,25.89,20.01,0.63,1019.38,5.38,11.94,250,1,3.58,NA,ErieA,NA,NA,NA
2016-04-03T16:00:00Z,Overcast,cloudy,0.0038,0.19,0.029,snow,32,26.53,20.72,0.63,1018.87,5.62,11.58,233,1,3.37,NA,ErieA,NA,NA,NA
2016-04-03T17:00:00Z,Overcast,cloudy,0.0028,0.27,0.021,snow,33.47,28.48,22.09,0.63,1018.56,5.38,12.63,230,1,3.37,NA,ErieA,NA,NA,NA
2016-04-03T18:00:00Z,Mostly Cloudy,partly-cloudy-day,0.0055,0.4,NA,rain,36.47,31.19,23.42,0.59,1017.01,6.52,13.25,224,0.83,3.37,NA,ErieA,NA,NA,NA
2016-04-03T19:00:00Z,Mostly Cloudy,partly-cloudy-day,0.0053,0.35,NA,rain,39.64,35.03,26.02,0.58,1015.2,6.46,15.39,222,0.83,3.37,NA,ErieA,NA,NA,NA
2016-04-03T20:00:00Z,Overcast,cloudy,0.0023,0.17,NA,rain,42.77,38.23,28.45,0.57,1013.25,7.47,16.45,209,1,3.37,NA,ErieA,NA,NA,NA
